epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6721,1.27983,2.65463,1.46258,0.49702,0.58153,0.53005,0.32516,1.29637,2.1584,1.4014,0.000472882,0.000472882,0.000472882
2,48.2469,1.36068,1.78006,1.47334,0.33952,0.40913,0.29848,0.16713,1.67818,4.45617,1.8155,0.000939818,0.000939818,0.000939818
3,70.8849,1.3847,1.73903,1.47603,0.40913,0.458,0.41278,0.23983,1.49268,2.5555,1.70686,0.00139732,0.00139732,0.00139732
4,93.4286,1.39717,1.69147,1.49657,0.56599,0.54705,0.54995,0.31098,1.51829,1.77333,1.61192,0.00138656,0.00138656,0.00138656
5,115.586,1.31781,1.56783,1.42464,0.77568,0.63654,0.72539,0.45436,1.23617,1.339,1.4041,0.00137241,0.00137241,0.00137241
6,137.901,1.27051,1.41493,1.42116,0.64779,0.64286,0.68465,0.43111,1.20303,1.48903,1.37433,0.00135826,0.00135826,0.00135826
7,160.131,1.2101,1.32916,1.36601,0.75056,0.72719,0.78309,0.54429,1.18291,1.14218,1.36333,0.00134412,0.00134412,0.00134412
8,181.091,1.18493,1.2935,1.3446,0.80389,0.75305,0.78688,0.55212,1.13508,1.13662,1.29336,0.00132997,0.00132997,0.00132997
9,204.01,1.16795,1.20045,1.33169,0.80366,0.79905,0.8237,0.56328,1.15489,1.03484,1.32356,0.00131582,0.00131582,0.00131582
10,224.605,1.14717,1.16244,1.31124,0.77568,0.75126,0.81957,0.56399,1.10527,1.18589,1.26874,0.00130168,0.00130168,0.00130168
11,241.627,1.12497,1.12422,1.30164,0.75132,0.74725,0.81544,0.5814,1.06093,1.01121,1.26717,0.00128753,0.00128753,0.00128753
12,258.495,1.13644,1.11437,1.30804,0.74726,0.75922,0.77919,0.52989,1.10477,1.13824,1.3126,0.00127338,0.00127338,0.00127338
13,274.82,1.10091,1.06955,1.29488,0.84805,0.82603,0.86994,0.63182,1.03015,0.86377,1.22036,0.00125923,0.00125923,0.00125923
14,291.129,1.0639,0.9998,1.25732,0.84198,0.82304,0.86139,0.62158,1.03536,0.89938,1.23196,0.00124509,0.00124509,0.00124509
15,307.459,1.05367,1.00648,1.26309,0.88263,0.83795,0.87137,0.65459,1.01881,0.87267,1.23631,0.00123094,0.00123094,0.00123094
16,323.595,1.02598,0.92277,1.23694,0.86852,0.83242,0.87757,0.64879,0.97522,0.82861,1.1885,0.00121679,0.00121679,0.00121679
17,339.847,1.01792,0.93584,1.23824,0.85433,0.79652,0.86132,0.62711,1.00064,0.88629,1.2236,0.00120265,0.00120265,0.00120265
18,355.91,1.00625,0.91278,1.229,0.87696,0.84785,0.89263,0.66283,0.98032,0.79372,1.19152,0.0011885,0.0011885,0.0011885
19,371.939,0.99815,0.90373,1.21532,0.88114,0.83775,0.87621,0.6413,1.00105,0.82711,1.20297,0.00117435,0.00117435,0.00117435
20,388.169,0.97706,0.86922,1.20881,0.87763,0.89195,0.9151,0.67309,1.0054,0.75228,1.17909,0.00116021,0.00116021,0.00116021
21,404.724,0.99762,0.89684,1.22157,0.9179,0.86975,0.90587,0.69017,0.95392,0.71839,1.16792,0.00114606,0.00114606,0.00114606
22,421.226,0.96994,0.83095,1.20488,0.88445,0.87238,0.91089,0.68535,0.94284,0.72849,1.16224,0.00113191,0.00113191,0.00113191
23,437.315,0.96032,0.82065,1.19158,0.90963,0.88007,0.92337,0.70119,0.94489,0.68114,1.14601,0.00111776,0.00111776,0.00111776
24,457.885,0.97467,0.84376,1.19459,0.92319,0.84485,0.90898,0.68198,0.9488,0.69702,1.1852,0.00110362,0.00110362,0.00110362
25,479.876,0.93814,0.7875,1.18156,0.89335,0.88139,0.905,0.69739,0.92833,0.70607,1.15728,0.00108947,0.00108947,0.00108947
26,501.282,0.93354,0.79698,1.17453,0.87409,0.88353,0.90004,0.69403,0.93166,0.71539,1.16378,0.00107532,0.00107532,0.00107532
27,522.905,0.94839,0.80188,1.18877,0.91636,0.8916,0.91898,0.70535,0.93044,0.66447,1.16538,0.00106118,0.00106118,0.00106118
28,544.108,0.92061,0.76448,1.16927,0.90332,0.88028,0.91311,0.69861,0.9144,0.69213,1.11428,0.00104703,0.00104703,0.00104703
29,565.283,0.89388,0.73929,1.15674,0.91463,0.88353,0.91587,0.70379,0.93722,0.68593,1.16242,0.00103288,0.00103288,0.00103288
30,586.575,0.88726,0.73282,1.14177,0.90892,0.87088,0.92653,0.69134,0.95836,0.69465,1.18526,0.00101873,0.00101873,0.00101873
31,607.949,0.8814,0.71316,1.14765,0.92018,0.87919,0.9253,0.71853,0.90852,0.632,1.14853,0.00100459,0.00100459,0.00100459
32,629.262,0.87548,0.7245,1.13119,0.92001,0.88844,0.92978,0.71041,0.91388,0.64132,1.13181,0.00099044,0.00099044,0.00099044
33,650.923,0.8611,0.71597,1.13034,0.93784,0.87187,0.92968,0.70895,0.9031,0.64283,1.12749,0.000976293,0.000976293,0.000976293
34,671.356,0.89126,0.71753,1.17078,0.94657,0.87249,0.93518,0.72616,0.88102,0.621,1.11776,0.000962146,0.000962146,0.000962146
35,688.688,0.85543,0.69855,1.13091,0.93299,0.87811,0.9339,0.70946,0.88527,0.63707,1.12013,0.000947999,0.000947999,0.000947999
36,705.2,0.86735,0.67663,1.13735,0.94296,0.89158,0.94146,0.71921,0.92297,0.58752,1.12165,0.000933851,0.000933851,0.000933851
37,725.717,0.82255,0.65032,1.11223,0.93518,0.89347,0.93591,0.71818,0.90131,0.60197,1.12706,0.000919704,0.000919704,0.000919704
38,746.893,0.84722,0.67552,1.11798,0.91992,0.89979,0.91851,0.71632,0.9076,0.62349,1.11971,0.000905557,0.000905557,0.000905557
39,768.144,0.83054,0.63978,1.11513,0.92751,0.90985,0.93292,0.74182,0.8608,0.59972,1.11576,0.00089141,0.00089141,0.00089141
40,789.919,0.80679,0.64146,1.10324,0.93951,0.88814,0.93186,0.71579,0.91794,0.60367,1.13221,0.000877263,0.000877263,0.000877263
41,812.393,0.80797,0.64227,1.10095,0.941,0.89445,0.93248,0.72311,0.90272,0.62675,1.12193,0.000863116,0.000863116,0.000863116
42,833.959,0.81732,0.63433,1.09753,0.91334,0.89963,0.9267,0.72323,0.89382,0.60983,1.09484,0.000848969,0.000848969,0.000848969
43,855.239,0.80669,0.62993,1.09507,0.94086,0.88225,0.92259,0.71673,0.89653,0.603,1.13177,0.000834822,0.000834822,0.000834822
44,876.42,0.81559,0.62513,1.10669,0.92513,0.90578,0.93993,0.74653,0.87333,0.56962,1.09732,0.000820675,0.000820675,0.000820675
45,893.11,0.80536,0.60483,1.10096,0.91155,0.92027,0.93569,0.74211,0.87602,0.57938,1.09953,0.000806528,0.000806528,0.000806528
46,909.237,0.77233,0.60239,1.07926,0.92894,0.91282,0.93925,0.74462,0.8654,0.56788,1.10808,0.00079238,0.00079238,0.00079238
47,925.3,0.77884,0.59363,1.08837,0.92006,0.90581,0.92901,0.72874,0.90595,0.59685,1.13336,0.000778233,0.000778233,0.000778233
48,941.412,0.78408,0.60483,1.08923,0.921,0.9158,0.93624,0.74556,0.8654,0.58968,1.0824,0.000764086,0.000764086,0.000764086
49,961.584,0.75811,0.56693,1.07357,0.93244,0.91096,0.9341,0.72971,0.88142,0.58011,1.11318,0.000749939,0.000749939,0.000749939
50,984.689,0.75866,0.57614,1.06408,0.93949,0.90453,0.93762,0.74166,0.87449,0.55812,1.09857,0.000735792,0.000735792,0.000735792
51,1006.81,0.76779,0.55997,1.0721,0.94175,0.90799,0.94274,0.75057,0.86401,0.5765,1.11178,0.000721645,0.000721645,0.000721645
52,1028.85,0.74038,0.55613,1.06433,0.92885,0.92112,0.9305,0.75246,0.83874,0.57259,1.07943,0.000707498,0.000707498,0.000707498
53,1050.97,0.7379,0.5454,1.06152,0.92334,0.91776,0.94696,0.75279,0.8577,0.57131,1.10444,0.000693351,0.000693351,0.000693351
54,1072.29,0.73643,0.5523,1.06283,0.9263,0.92122,0.94159,0.75386,0.86278,0.55389,1.11527,0.000679204,0.000679204,0.000679204
55,1093.82,0.74241,0.54089,1.0609,0.93398,0.92029,0.93876,0.74023,0.86774,0.5537,1.10308,0.000665057,0.000665057,0.000665057
56,1116.66,0.74379,0.56184,1.06183,0.93356,0.9169,0.94669,0.7562,0.84928,0.52815,1.09114,0.000650909,0.000650909,0.000650909
57,1139.45,0.72348,0.53619,1.05971,0.93594,0.91096,0.93809,0.74261,0.8774,0.53204,1.12795,0.000636762,0.000636762,0.000636762
58,1162.57,0.72543,0.52728,1.04291,0.9453,0.92116,0.94646,0.75486,0.87105,0.52656,1.12731,0.000622615,0.000622615,0.000622615
59,1185.07,0.71046,0.52078,1.03789,0.95893,0.89561,0.94444,0.75944,0.84721,0.52012,1.08588,0.000608468,0.000608468,0.000608468
60,1206.88,0.71574,0.52272,1.04076,0.95517,0.91288,0.95399,0.7665,0.83656,0.50868,1.07749,0.000594321,0.000594321,0.000594321
61,1229.05,0.69953,0.52068,1.04364,0.92702,0.93572,0.94917,0.76341,0.83339,0.52504,1.08831,0.000580174,0.000580174,0.000580174
62,1250.65,0.6902,0.49113,1.02589,0.95771,0.91838,0.94916,0.76212,0.85511,0.50149,1.08971,0.000566027,0.000566027,0.000566027
63,1272.42,0.70393,0.51409,1.03998,0.93637,0.92411,0.94357,0.75205,0.85886,0.5171,1.09142,0.00055188,0.00055188,0.00055188
64,1293.9,0.6725,0.49974,1.02017,0.94113,0.91314,0.94712,0.76481,0.83439,0.52302,1.07301,0.000537733,0.000537733,0.000537733
