Model,Precision (P),Recall (R),mAP@50,mAP@50-95,F1-Score
YOLOv8,0.9611897868856153,0.9069068422232425,0.9540769353087916,0.8083689166177291,0.9332596406116692
YOLOv9,0.9545961728620446,0.9143664218599024,0.9496164083355337,0.8078073481455431,0.9340483210517967
YOLOv11,0.9481243030191271,0.9241216526002208,0.9547548023338427,0.8074859499221585,0.935969117839354
