epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3481,1.30307,3.03157,1.45292,0.45382,0.37536,0.36314,0.23024,1.39268,2.35377,1.52388,0.000472882,0.000472882,0.000472882
2,63.1781,1.44496,1.98314,1.52546,0.28117,0.44263,0.31553,0.16206,1.73064,3.32619,1.82032,0.000939818,0.000939818,0.000939818
3,88.3585,1.46035,1.90294,1.5337,0.40031,0.34216,0.31767,0.18129,1.70437,2.65169,1.74896,0.00139732,0.00139732,0.00139732
4,108.955,1.44827,1.78718,1.53497,0.3339,0.48673,0.4154,0.23834,1.54159,2.88909,1.62686,0.00138656,0.00138656,0.00138656
5,128.973,1.36406,1.67689,1.46133,0.61216,0.57938,0.62607,0.38837,1.3511,1.71783,1.45842,0.00137241,0.00137241,0.00137241
6,147.066,1.32272,1.5005,1.42199,0.64183,0.62745,0.66023,0.41455,1.32762,1.55069,1.40203,0.00135826,0.00135826,0.00135826
7,170.621,1.25745,1.44049,1.37383,0.72789,0.60634,0.67884,0.43662,1.24778,1.65513,1.35856,0.00134412,0.00134412,0.00134412
8,195.88,1.23416,1.35087,1.36275,0.72822,0.74115,0.75853,0.48122,1.24882,1.25299,1.351,0.00132997,0.00132997,0.00132997
9,220.983,1.20661,1.29775,1.35594,0.76136,0.73736,0.79782,0.53268,1.18685,1.14605,1.32901,0.00131582,0.00131582,0.00131582
10,246.31,1.19028,1.2496,1.3262,0.78004,0.74453,0.79827,0.53165,1.18286,1.09257,1.32296,0.00130168,0.00130168,0.00130168
11,271.383,1.18329,1.21166,1.32466,0.74842,0.66673,0.76126,0.49453,1.21648,1.18591,1.35134,0.00128753,0.00128753,0.00128753
12,296.33,1.17413,1.19474,1.31551,0.78643,0.77,0.83845,0.57895,1.10758,1.03669,1.27921,0.00127338,0.00127338,0.00127338
13,321.464,1.13137,1.14707,1.28999,0.79655,0.81248,0.83697,0.57459,1.10278,0.97055,1.23979,0.00125923,0.00125923,0.00125923
14,340.679,1.09117,1.08708,1.25563,0.83077,0.78841,0.84824,0.59969,1.04656,0.94192,1.23924,0.00124509,0.00124509,0.00124509
15,359.318,1.11441,1.07758,1.2844,0.83146,0.75899,0.84556,0.59925,1.06038,0.95932,1.23499,0.00123094,0.00123094,0.00123094
16,378.099,1.09411,1.02575,1.2591,0.78178,0.77854,0.84847,0.57598,1.10711,1.00961,1.28349,0.00121679,0.00121679,0.00121679
17,396.671,1.06586,1.00655,1.24417,0.83975,0.80385,0.83063,0.59619,1.06152,0.9939,1.23395,0.00120265,0.00120265,0.00120265
18,415.618,1.05597,0.99232,1.24855,0.8125,0.81604,0.82873,0.60271,1.03806,0.94379,1.22495,0.0011885,0.0011885,0.0011885
19,434.713,1.0371,0.96827,1.23154,0.84333,0.81024,0.8676,0.62034,1.0348,0.89693,1.19523,0.00117435,0.00117435,0.00117435
20,453.87,1.03159,0.94521,1.22473,0.85189,0.82495,0.86797,0.61634,1.08659,0.88932,1.20433,0.00116021,0.00116021,0.00116021
21,472.245,1.041,0.97025,1.24214,0.8648,0.8599,0.88816,0.65059,0.97994,0.83333,1.1775,0.00114606,0.00114606,0.00114606
22,490.694,1.00512,0.89077,1.22123,0.88816,0.82227,0.88525,0.66294,0.95792,0.82699,1.15758,0.00113191,0.00113191,0.00113191
23,508.975,1.00491,0.89649,1.21048,0.82633,0.83117,0.85912,0.62348,1.02964,0.87439,1.18324,0.00111776,0.00111776,0.00111776
24,531.22,1.01191,0.92958,1.20882,0.90453,0.845,0.90994,0.67756,0.96638,0.72222,1.15868,0.00110362,0.00110362,0.00110362
25,556.041,0.97655,0.85288,1.19457,0.91708,0.85065,0.91069,0.68297,0.95752,0.74509,1.14952,0.00108947,0.00108947,0.00108947
26,580.765,0.9643,0.8551,1.18264,0.92203,0.82011,0.91439,0.68338,0.96684,0.76204,1.16702,0.00107532,0.00107532,0.00107532
27,605.49,1.01358,0.89657,1.21604,0.90298,0.83299,0.89552,0.66652,0.97773,0.7506,1.18871,0.00106118,0.00106118,0.00106118
28,630.514,0.98034,0.84792,1.19882,0.92056,0.85328,0.91091,0.6821,0.95291,0.72258,1.15626,0.00104703,0.00104703,0.00104703
