epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1131.42,0.85865,0.64925,1.23753,0.93613,0.89976,0.9309,0.73566,0.8666,0.55113,1.34304,0.000848969,0.000848969,0.000848969
43,1158.17,0.863,0.64647,1.21998,0.91581,0.90368,0.91828,0.72603,0.88416,0.54939,1.33698,0.000834822,0.000834822,0.000834822
44,1185,0.85564,0.63774,1.22575,0.93557,0.87585,0.92229,0.71792,0.91552,0.56636,1.36097,0.000820675,0.000820675,0.000820675
45,1211.59,0.83208,0.61867,1.22148,0.91136,0.91291,0.93521,0.73409,0.88057,0.52519,1.3497,0.000806528,0.000806528,0.000806528
46,1238.11,0.81288,0.60014,1.20827,0.93531,0.89775,0.93354,0.73948,0.85727,0.52265,1.33188,0.00079238,0.00079238,0.00079238
47,1264.75,0.82131,0.60607,1.21856,0.93944,0.87032,0.93609,0.74255,0.88212,0.52563,1.35569,0.000778233,0.000778233,0.000778233
48,1291.52,0.83445,0.61342,1.2243,0.92094,0.8868,0.9315,0.73724,0.90121,0.54336,1.35195,0.000764086,0.000764086,0.000764086
49,1318.09,0.79502,0.58832,1.19157,0.9021,0.9166,0.92466,0.73226,0.87282,0.55665,1.33878,0.000749939,0.000749939,0.000749939
50,1344.74,0.80847,0.60302,1.19363,0.94716,0.90516,0.93374,0.73133,0.9038,0.56175,1.36265,0.000735792,0.000735792,0.000735792
51,1371.29,0.80979,0.57092,1.18794,0.92513,0.90951,0.94298,0.74958,0.86497,0.50462,1.33067,0.000721645,0.000721645,0.000721645
52,1398.06,0.78706,0.5766,1.19035,0.95414,0.90088,0.93627,0.73609,0.88665,0.54719,1.33507,0.000707498,0.000707498,0.000707498
53,1424.84,0.78292,0.57792,1.18125,0.93489,0.90005,0.94247,0.74219,0.88452,0.53356,1.34723,0.000693351,0.000693351,0.000693351
